Creighton,119.37526909248,105.16656915172,0.81112791035652,12–8,12,20,55.2,49.9,27.9,22.9,15.7,13.9,29.6,31.1,68.5,57,49.2,35.5,34.3,6.4,10.7,57.5,48.7,48.5,31.6,66.078995609971,78.38685540950456,80.8705,1.9090545672596444,2026,0,0,55.05200000000001,,75.5,70.1,1.147,1.079,29.531335
Washington,117.24264665781,103.36842875998,0.80974902289478,10–9,10,19,50.3,49.6,34.7,31,15,15.2,34.2,29.5,69.5,52.5,50.4,30.6,32.1,11.3,9.6,49.3,50.6,34,37.3,67.207343418091,77.642704778157,81.63099999999999,1.4514902980596118,2026,0,0,74.26116,,77.6,71.4,1.126,1.051,33.566273684211
Tulsa,124.69260042767,110.0411871159,0.80806148441654,14–3,14,17,57.7,50.6,44.7,32,15.4,16,33,27.6,69,54.9,49.6,40.8,34.6,7,9.3,56,51.7,44.4,40.9,67.599769857895,77.66364734299518,80.40450000000001,2.0526000000000013,2026,0,0,3.1446400000000025,,80.1,74.3,1.246,1.063,12.734652941176
West Virginia,114.36778512628,100.9978129724,0.80685248682018,13–7,13,20,52.9,48,37.5,29.1,16.9,17.6,30.6,26.8,64.3,51.8,45.7,36.2,34.4,8,10.8,53.9,58.1,43.3,38.9,62.572780101069,76.91735537190081,80.85349999999998,2.4065999999999996,2026,0,0,22.55696,,68.7,72.2,1.109,0.987,27.257415
USC,114.63680828142,101.38164324213,0.80425197129482,13–5,13,18,52.1,48,48.9,36.2,17.2,17.3,32.3,30.8,71.9,53.7,50.7,32.7,29.5,15.3,7.6,57.7,53.7,34.8,41.2,70.10648716597,79.19838220424671,82.7375,2.212315073970412,2026,0,0,32.048480000000005,,71.7,75.9,1.104,1.035,28.275461111111
Northwestern,120.01413732485,106.17277483375,0.80364462807993,9–10,9,19,52.2,48.2,38.4,37,12.4,16.3,29.6,33.9,66.9,55.1,50.2,31,30,11.1,6,66.2,61.2,33.9,39.5,65.594350029491,77.40559018700985,80.67,1.5407081416283255,2026,0,0,39.327999999999996,,74.1,72.9,1.145,1.065,29.532057894737
Virginia Tech,116.22475760689,102.82379445711,0.80358521485255,15–6,15,21,52.4,49.4,38.3,27.5,14.5,18.5,32,33.1,69.2,52,52.3,35.3,30.1,10.1,8.7,52,48.1,38.8,41,68.093816366171,77.92431332655137,81.10199999999999,1.372874574914983,2026,0,0,59.785320000000006,,72.3,74.8,1.137,1.041,24.752952380952
Grand Canyon,109.95373148208,97.428752869276,0.80071837342638,12–6,12,18,50.2,48,38.8,37.1,17.9,18,32.7,26.6,69.7,52.5,49.3,31,30.7,10,8.6,50.8,48.1,38.8,39.4,67.786351190995,78.58087938684953,82.08300000000001,2.375524895020995,2026,0,0,42.21383999999999,,76.4,72.3,1.078,0.99,22.096916666667
Nevada,119.56319641067,106.06458323697,0.79861559942909,14–5,14,19,50.4,50.7,45.2,39.6,13.9,17.7,33.6,29.3,66.1,46.3,50.7,39.4,33.8,13,9.3,58.5,58.1,31.7,42.7,65.398162507474,76.71987513007282,79.7725,1.935038976614032,2026,0,0,16.588320000000003,,76.5,72.1,1.157,1.061,18.671747368421
Baylor,123.08548680444,109.2090190001,0.79827986657088,10–7,10,17,54.4,50.2,37.9,25.9,16.2,15.8,39.1,33.6,70.6,54.1,48.8,36.6,35.3,11.4,9.5,53.7,47,39,34.8,67.796514906649,77.39617653040473,79.86999999999999,1.9208000000000003,2026,0,0,47.90756,,71.9,73.9,1.191,1.087,31.308529411765
